|section|correct|incorrect
0|capital-common-countries|[]|[]
1|capital-world|[]|[]
2|currency|[]|[]
3|city-in-state|[]|[]
4|family|[]|[]
5|gram1-adjective-to-adverb|[]|[]
6|gram2-opposite|[]|[]
7|gram3-comparative|[]|[('FAST', 'FASTER', 'GOOD', 'BETTER'), ('FAST', 'FASTER', 'HIGH', 'HIGHER'), ('FAST', 'FASTER', 'SMART', 'SMARTER'), ('FAST', 'FASTER', 'STRONG', 'STRONGER'), ('GOOD', 'BETTER', 'HIGH', 'HIGHER'), ('GOOD', 'BETTER', 'SMART', 'SMARTER'), ('GOOD', 'BETTER', 'STRONG', 'STRONGER'), ('GOOD', 'BETTER', 'FAST', 'FASTER'), ('HIGH', 'HIGHER', 'SMART', 'SMARTER'), ('HIGH', 'HIGHER', 'STRONG', 'STRONGER'), ('HIGH', 'HIGHER', 'FAST', 'FASTER'), ('HIGH', 'HIGHER', 'GOOD', 'BETTER'), ('SMART', 'SMARTER', 'STRONG', 'STRONGER'), ('SMART', 'SMARTER', 'FAST', 'FASTER'), ('SMART', 'SMARTER', 'GOOD', 'BETTER'), ('SMART', 'SMARTER', 'HIGH', 'HIGHER'), ('STRONG', 'STRONGER', 'FAST', 'FASTER'), ('STRONG', 'STRONGER', 'GOOD', 'BETTER'), ('STRONG', 'STRONGER', 'HIGH', 'HIGHER'), ('STRONG', 'STRONGER', 'SMART', 'SMARTER')]
8|gram4-superlative|[]|[('GOOD', 'BEST', 'LARGE', 'LARGEST'), ('GOOD', 'BEST', 'LONG', 'LONGEST'), ('GOOD', 'BEST', 'SMALL', 'SMALLEST'), ('LARGE', 'LARGEST', 'LONG', 'LONGEST'), ('LARGE', 'LARGEST', 'SMALL', 'SMALLEST'), ('LARGE', 'LARGEST', 'GOOD', 'BEST'), ('LONG', 'LONGEST', 'SMALL', 'SMALLEST'), ('LONG', 'LONGEST', 'GOOD', 'BEST'), ('LONG', 'LONGEST', 'LARGE', 'LARGEST'), ('SMALL', 'SMALLEST', 'GOOD', 'BEST'), ('SMALL', 'SMALLEST', 'LARGE', 'LARGEST'), ('SMALL', 'SMALLEST', 'LONG', 'LONGEST')]
9|gram5-present-participle|[]|[('CODE', 'CODING', 'DECREASE', 'DECREASING'), ('CODE', 'CODING', 'DESCRIBE', 'DESCRIBING'), ('CODE', 'CODING', 'ENHANCE', 'ENHANCING'), ('CODE', 'CODING', 'GENERATE', 'GENERATING'), ('CODE', 'CODING', 'IMPLEMENT', 'IMPLEMENTING'), ('CODE', 'CODING', 'INCREASE', 'INCREASING'), ('CODE', 'CODING', 'MOVE', 'MOVING'), ('CODE', 'CODING', 'PREDICT', 'PREDICTING'), ('DECREASE', 'DECREASING', 'DESCRIBE', 'DESCRIBING'), ('DECREASE', 'DECREASING', 'ENHANCE', 'ENHANCING'), ('DECREASE', 'DECREASING', 'GENERATE', 'GENERATING'), ('DECREASE', 'DECREASING', 'IMPLEMENT', 'IMPLEMENTING'), ('DECREASE', 'DECREASING', 'INCREASE', 'INCREASING'), ('DECREASE', 'DECREASING', 'MOVE', 'MOVING'), ('DECREASE', 'DECREASING', 'PREDICT', 'PREDICTING'), ('DECREASE', 'DECREASING', 'CODE', 'CODING'), ('DESCRIBE', 'DESCRIBING', 'ENHANCE', 'ENHANCING'), ('DESCRIBE', 'DESCRIBING', 'GENERATE', 'GENERATING'), ('DESCRIBE', 'DESCRIBING', 'IMPLEMENT', 'IMPLEMENTING'), ('DESCRIBE', 'DESCRIBING', 'INCREASE', 'INCREASING'), ('DESCRIBE', 'DESCRIBING', 'MOVE', 'MOVING'), ('DESCRIBE', 'DESCRIBING', 'PREDICT', 'PREDICTING'), ('DESCRIBE', 'DESCRIBING', 'CODE', 'CODING'), ('DESCRIBE', 'DESCRIBING', 'DECREASE', 'DECREASING'), ('ENHANCE', 'ENHANCING', 'GENERATE', 'GENERATING'), ('ENHANCE', 'ENHANCING', 'IMPLEMENT', 'IMPLEMENTING'), ('ENHANCE', 'ENHANCING', 'INCREASE', 'INCREASING'), ('ENHANCE', 'ENHANCING', 'MOVE', 'MOVING'), ('ENHANCE', 'ENHANCING', 'PREDICT', 'PREDICTING'), ('ENHANCE', 'ENHANCING', 'CODE', 'CODING'), ('ENHANCE', 'ENHANCING', 'DECREASE', 'DECREASING'), ('ENHANCE', 'ENHANCING', 'DESCRIBE', 'DESCRIBING'), ('GENERATE', 'GENERATING', 'IMPLEMENT', 'IMPLEMENTING'), ('GENERATE', 'GENERATING', 'INCREASE', 'INCREASING'), ('GENERATE', 'GENERATING', 'MOVE', 'MOVING'), ('GENERATE', 'GENERATING', 'PREDICT', 'PREDICTING'), ('GENERATE', 'GENERATING', 'CODE', 'CODING'), ('GENERATE', 'GENERATING', 'DECREASE', 'DECREASING'), ('GENERATE', 'GENERATING', 'DESCRIBE', 'DESCRIBING'), ('GENERATE', 'GENERATING', 'ENHANCE', 'ENHANCING'), ('IMPLEMENT', 'IMPLEMENTING', 'INCREASE', 'INCREASING'), ('IMPLEMENT', 'IMPLEMENTING', 'MOVE', 'MOVING'), ('IMPLEMENT', 'IMPLEMENTING', 'PREDICT', 'PREDICTING'), ('IMPLEMENT', 'IMPLEMENTING', 'CODE', 'CODING'), ('IMPLEMENT', 'IMPLEMENTING', 'DECREASE', 'DECREASING'), ('IMPLEMENT', 'IMPLEMENTING', 'DESCRIBE', 'DESCRIBING'), ('IMPLEMENT', 'IMPLEMENTING', 'ENHANCE', 'ENHANCING'), ('IMPLEMENT', 'IMPLEMENTING', 'GENERATE', 'GENERATING'), ('INCREASE', 'INCREASING', 'MOVE', 'MOVING'), ('INCREASE', 'INCREASING', 'PREDICT', 'PREDICTING'), ('INCREASE', 'INCREASING', 'CODE', 'CODING'), ('INCREASE', 'INCREASING', 'DECREASE', 'DECREASING'), ('INCREASE', 'INCREASING', 'DESCRIBE', 'DESCRIBING'), ('INCREASE', 'INCREASING', 'ENHANCE', 'ENHANCING'), ('INCREASE', 'INCREASING', 'GENERATE', 'GENERATING'), ('INCREASE', 'INCREASING', 'IMPLEMENT', 'IMPLEMENTING'), ('MOVE', 'MOVING', 'PREDICT', 'PREDICTING'), ('MOVE', 'MOVING', 'CODE', 'CODING'), ('MOVE', 'MOVING', 'DECREASE', 'DECREASING'), ('MOVE', 'MOVING', 'DESCRIBE', 'DESCRIBING'), ('MOVE', 'MOVING', 'ENHANCE', 'ENHANCING'), ('MOVE', 'MOVING', 'GENERATE', 'GENERATING'), ('MOVE', 'MOVING', 'IMPLEMENT', 'IMPLEMENTING'), ('MOVE', 'MOVING', 'INCREASE', 'INCREASING'), ('PREDICT', 'PREDICTING', 'CODE', 'CODING'), ('PREDICT', 'PREDICTING', 'DECREASE', 'DECREASING'), ('PREDICT', 'PREDICTING', 'DESCRIBE', 'DESCRIBING'), ('PREDICT', 'PREDICTING', 'ENHANCE', 'ENHANCING'), ('PREDICT', 'PREDICTING', 'GENERATE', 'GENERATING'), ('PREDICT', 'PREDICTING', 'IMPLEMENT', 'IMPLEMENTING'), ('PREDICT', 'PREDICTING', 'INCREASE', 'INCREASING'), ('PREDICT', 'PREDICTING', 'MOVE', 'MOVING')]
10|gram6-nationality-adjective|[]|[]
11|gram7-past-tense|[]|[('DESCRIBING', 'DESCRIBED', 'ENHANCING', 'ENHANCED'), ('DESCRIBING', 'DESCRIBED', 'FEEDING', 'FED'), ('DESCRIBING', 'DESCRIBED', 'GENERATING', 'GENERATED'), ('DESCRIBING', 'DESCRIBED', 'THINKING', 'THOUGHT'), ('ENHANCING', 'ENHANCED', 'FEEDING', 'FED'), ('ENHANCING', 'ENHANCED', 'GENERATING', 'GENERATED'), ('ENHANCING', 'ENHANCED', 'THINKING', 'THOUGHT'), ('ENHANCING', 'ENHANCED', 'DESCRIBING', 'DESCRIBED'), ('FEEDING', 'FED', 'GENERATING', 'GENERATED'), ('FEEDING', 'FED', 'THINKING', 'THOUGHT'), ('FEEDING', 'FED', 'DESCRIBING', 'DESCRIBED'), ('FEEDING', 'FED', 'ENHANCING', 'ENHANCED'), ('GENERATING', 'GENERATED', 'THINKING', 'THOUGHT'), ('GENERATING', 'GENERATED', 'DESCRIBING', 'DESCRIBED'), ('GENERATING', 'GENERATED', 'ENHANCING', 'ENHANCED'), ('GENERATING', 'GENERATED', 'FEEDING', 'FED'), ('THINKING', 'THOUGHT', 'DESCRIBING', 'DESCRIBED'), ('THINKING', 'THOUGHT', 'ENHANCING', 'ENHANCED'), ('THINKING', 'THOUGHT', 'FEEDING', 'FED'), ('THINKING', 'THOUGHT', 'GENERATING', 'GENERATED')]
12|gram8-plural|[]|[]
13|gram9-plural-verbs|[]|[]
14|total|[]|[('FAST', 'FASTER', 'GOOD', 'BETTER'), ('FAST', 'FASTER', 'HIGH', 'HIGHER'), ('FAST', 'FASTER', 'SMART', 'SMARTER'), ('FAST', 'FASTER', 'STRONG', 'STRONGER'), ('GOOD', 'BETTER', 'HIGH', 'HIGHER'), ('GOOD', 'BETTER', 'SMART', 'SMARTER'), ('GOOD', 'BETTER', 'STRONG', 'STRONGER'), ('GOOD', 'BETTER', 'FAST', 'FASTER'), ('HIGH', 'HIGHER', 'SMART', 'SMARTER'), ('HIGH', 'HIGHER', 'STRONG', 'STRONGER'), ('HIGH', 'HIGHER', 'FAST', 'FASTER'), ('HIGH', 'HIGHER', 'GOOD', 'BETTER'), ('SMART', 'SMARTER', 'STRONG', 'STRONGER'), ('SMART', 'SMARTER', 'FAST', 'FASTER'), ('SMART', 'SMARTER', 'GOOD', 'BETTER'), ('SMART', 'SMARTER', 'HIGH', 'HIGHER'), ('STRONG', 'STRONGER', 'FAST', 'FASTER'), ('STRONG', 'STRONGER', 'GOOD', 'BETTER'), ('STRONG', 'STRONGER', 'HIGH', 'HIGHER'), ('STRONG', 'STRONGER', 'SMART', 'SMARTER'), ('GOOD', 'BEST', 'LARGE', 'LARGEST'), ('GOOD', 'BEST', 'LONG', 'LONGEST'), ('GOOD', 'BEST', 'SMALL', 'SMALLEST'), ('LARGE', 'LARGEST', 'LONG', 'LONGEST'), ('LARGE', 'LARGEST', 'SMALL', 'SMALLEST'), ('LARGE', 'LARGEST', 'GOOD', 'BEST'), ('LONG', 'LONGEST', 'SMALL', 'SMALLEST'), ('LONG', 'LONGEST', 'GOOD', 'BEST'), ('LONG', 'LONGEST', 'LARGE', 'LARGEST'), ('SMALL', 'SMALLEST', 'GOOD', 'BEST'), ('SMALL', 'SMALLEST', 'LARGE', 'LARGEST'), ('SMALL', 'SMALLEST', 'LONG', 'LONGEST'), ('CODE', 'CODING', 'DECREASE', 'DECREASING'), ('CODE', 'CODING', 'DESCRIBE', 'DESCRIBING'), ('CODE', 'CODING', 'ENHANCE', 'ENHANCING'), ('CODE', 'CODING', 'GENERATE', 'GENERATING'), ('CODE', 'CODING', 'IMPLEMENT', 'IMPLEMENTING'), ('CODE', 'CODING', 'INCREASE', 'INCREASING'), ('CODE', 'CODING', 'MOVE', 'MOVING'), ('CODE', 'CODING', 'PREDICT', 'PREDICTING'), ('DECREASE', 'DECREASING', 'DESCRIBE', 'DESCRIBING'), ('DECREASE', 'DECREASING', 'ENHANCE', 'ENHANCING'), ('DECREASE', 'DECREASING', 'GENERATE', 'GENERATING'), ('DECREASE', 'DECREASING', 'IMPLEMENT', 'IMPLEMENTING'), ('DECREASE', 'DECREASING', 'INCREASE', 'INCREASING'), ('DECREASE', 'DECREASING', 'MOVE', 'MOVING'), ('DECREASE', 'DECREASING', 'PREDICT', 'PREDICTING'), ('DECREASE', 'DECREASING', 'CODE', 'CODING'), ('DESCRIBE', 'DESCRIBING', 'ENHANCE', 'ENHANCING'), ('DESCRIBE', 'DESCRIBING', 'GENERATE', 'GENERATING'), ('DESCRIBE', 'DESCRIBING', 'IMPLEMENT', 'IMPLEMENTING'), ('DESCRIBE', 'DESCRIBING', 'INCREASE', 'INCREASING'), ('DESCRIBE', 'DESCRIBING', 'MOVE', 'MOVING'), ('DESCRIBE', 'DESCRIBING', 'PREDICT', 'PREDICTING'), ('DESCRIBE', 'DESCRIBING', 'CODE', 'CODING'), ('DESCRIBE', 'DESCRIBING', 'DECREASE', 'DECREASING'), ('ENHANCE', 'ENHANCING', 'GENERATE', 'GENERATING'), ('ENHANCE', 'ENHANCING', 'IMPLEMENT', 'IMPLEMENTING'), ('ENHANCE', 'ENHANCING', 'INCREASE', 'INCREASING'), ('ENHANCE', 'ENHANCING', 'MOVE', 'MOVING'), ('ENHANCE', 'ENHANCING', 'PREDICT', 'PREDICTING'), ('ENHANCE', 'ENHANCING', 'CODE', 'CODING'), ('ENHANCE', 'ENHANCING', 'DECREASE', 'DECREASING'), ('ENHANCE', 'ENHANCING', 'DESCRIBE', 'DESCRIBING'), ('GENERATE', 'GENERATING', 'IMPLEMENT', 'IMPLEMENTING'), ('GENERATE', 'GENERATING', 'INCREASE', 'INCREASING'), ('GENERATE', 'GENERATING', 'MOVE', 'MOVING'), ('GENERATE', 'GENERATING', 'PREDICT', 'PREDICTING'), ('GENERATE', 'GENERATING', 'CODE', 'CODING'), ('GENERATE', 'GENERATING', 'DECREASE', 'DECREASING'), ('GENERATE', 'GENERATING', 'DESCRIBE', 'DESCRIBING'), ('GENERATE', 'GENERATING', 'ENHANCE', 'ENHANCING'), ('IMPLEMENT', 'IMPLEMENTING', 'INCREASE', 'INCREASING'), ('IMPLEMENT', 'IMPLEMENTING', 'MOVE', 'MOVING'), ('IMPLEMENT', 'IMPLEMENTING', 'PREDICT', 'PREDICTING'), ('IMPLEMENT', 'IMPLEMENTING', 'CODE', 'CODING'), ('IMPLEMENT', 'IMPLEMENTING', 'DECREASE', 'DECREASING'), ('IMPLEMENT', 'IMPLEMENTING', 'DESCRIBE', 'DESCRIBING'), ('IMPLEMENT', 'IMPLEMENTING', 'ENHANCE', 'ENHANCING'), ('IMPLEMENT', 'IMPLEMENTING', 'GENERATE', 'GENERATING'), ('INCREASE', 'INCREASING', 'MOVE', 'MOVING'), ('INCREASE', 'INCREASING', 'PREDICT', 'PREDICTING'), ('INCREASE', 'INCREASING', 'CODE', 'CODING'), ('INCREASE', 'INCREASING', 'DECREASE', 'DECREASING'), ('INCREASE', 'INCREASING', 'DESCRIBE', 'DESCRIBING'), ('INCREASE', 'INCREASING', 'ENHANCE', 'ENHANCING'), ('INCREASE', 'INCREASING', 'GENERATE', 'GENERATING'), ('INCREASE', 'INCREASING', 'IMPLEMENT', 'IMPLEMENTING'), ('MOVE', 'MOVING', 'PREDICT', 'PREDICTING'), ('MOVE', 'MOVING', 'CODE', 'CODING'), ('MOVE', 'MOVING', 'DECREASE', 'DECREASING'), ('MOVE', 'MOVING', 'DESCRIBE', 'DESCRIBING'), ('MOVE', 'MOVING', 'ENHANCE', 'ENHANCING'), ('MOVE', 'MOVING', 'GENERATE', 'GENERATING'), ('MOVE', 'MOVING', 'IMPLEMENT', 'IMPLEMENTING'), ('MOVE', 'MOVING', 'INCREASE', 'INCREASING'), ('PREDICT', 'PREDICTING', 'CODE', 'CODING'), ('PREDICT', 'PREDICTING', 'DECREASE', 'DECREASING'), ('PREDICT', 'PREDICTING', 'DESCRIBE', 'DESCRIBING'), ('PREDICT', 'PREDICTING', 'ENHANCE', 'ENHANCING'), ('PREDICT', 'PREDICTING', 'GENERATE', 'GENERATING'), ('PREDICT', 'PREDICTING', 'IMPLEMENT', 'IMPLEMENTING'), ('PREDICT', 'PREDICTING', 'INCREASE', 'INCREASING'), ('PREDICT', 'PREDICTING', 'MOVE', 'MOVING'), ('DESCRIBING', 'DESCRIBED', 'ENHANCING', 'ENHANCED'), ('DESCRIBING', 'DESCRIBED', 'FEEDING', 'FED'), ('DESCRIBING', 'DESCRIBED', 'GENERATING', 'GENERATED'), ('DESCRIBING', 'DESCRIBED', 'THINKING', 'THOUGHT'), ('ENHANCING', 'ENHANCED', 'FEEDING', 'FED'), ('ENHANCING', 'ENHANCED', 'GENERATING', 'GENERATED'), ('ENHANCING', 'ENHANCED', 'THINKING', 'THOUGHT'), ('ENHANCING', 'ENHANCED', 'DESCRIBING', 'DESCRIBED'), ('FEEDING', 'FED', 'GENERATING', 'GENERATED'), ('FEEDING', 'FED', 'THINKING', 'THOUGHT'), ('FEEDING', 'FED', 'DESCRIBING', 'DESCRIBED'), ('FEEDING', 'FED', 'ENHANCING', 'ENHANCED'), ('GENERATING', 'GENERATED', 'THINKING', 'THOUGHT'), ('GENERATING', 'GENERATED', 'DESCRIBING', 'DESCRIBED'), ('GENERATING', 'GENERATED', 'ENHANCING', 'ENHANCED'), ('GENERATING', 'GENERATED', 'FEEDING', 'FED'), ('THINKING', 'THOUGHT', 'DESCRIBING', 'DESCRIBED'), ('THINKING', 'THOUGHT', 'ENHANCING', 'ENHANCED'), ('THINKING', 'THOUGHT', 'FEEDING', 'FED'), ('THINKING', 'THOUGHT', 'GENERATING', 'GENERATED')]
